Intersection,Approach,Turn,turnObjectId
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 1,11111
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 2,11112
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 3,11113
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 4,11114
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 4U,11115
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Georges Rd,Direction 5,11116
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Georges Rd,Direction 6,11117
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Georges Rd,Direction 7,11118
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Georges Rd,Direction 8,11119
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Georges Rd,Direction 8U,11120
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Jude St,Direction 9,11121
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Jude St,Direction 10,11122
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Jude St,Direction 11,11123
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Jude St,Direction 12,11124
Great N Rd / St Georges Rd / St Jude St / Wingate St,St Jude St,Direction 12U,11125
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 13,11126
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 14,11127
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 15,11128
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 16,11129
Great N Rd / St Georges Rd / St Jude St / Wingate St,Great N Rd,Direction 16U,11130
Great N Rd / St Georges Rd / St Jude St / Wingate St,Wingate St,Direction 17,11131
Great N Rd / St Georges Rd / St Jude St / Wingate St,Wingate St,Direction 18,11132
Great N Rd / St Georges Rd / St Jude St / Wingate St,Wingate St,Direction 19,11133
Great N Rd / St Georges Rd / St Jude St / Wingate St,Wingate St,Direction 20,11134
Great N Rd / St Georges Rd / St Jude St / Wingate St,Wingate St,Direction 20U,11135
